SPECIES_NAME,COMMON_NAME,SPECIES_CODE,GUILD
Scymnodon ringens,Knifetooth dogfish,SYR,elasmobranch
Scyliorhinidae,"Catsharks, etc. nei",SYX,elasmobranch
Trichiurus spp,Hairtails nei,TCW,NA
Todaropsis eblanae,Lesser flying squid,TDQ,NA
Penaeus kerathurus,Caramote prawn,TGS,NA
Alopias spp,Thresher sharks nei,THR,elasmobranch
Galeocerdo cuvier,Tiger shark,TIG,elasmobranch
Trachyscorpia cristulata,Atlantic thornyhead,TJX,NA
Torpedinidae,Electric rays nei,TOD,elasmobranch
Torpedo spp,Torpedo rays,TOE,elasmobranch
Trachipterus arcticus,Dealfish,TPA,NA
Atrina fragilis,Brittle pen shell,TQF,NA
Trachinidae,Weeverfishes nei,TRA,NA
Trachichthyidae,Slimeheads nei,TRC,NA
Caranx spp,"Jacks, crevalles nei",TRE,NA
Balistes carolinensis,Grey triggerfish,TRG,NA
Balistidae,"Triggerfishes, durgons nei",TRI,NA
Triakidae,"Houndsharks, smoothhounds nei",TRK,elasmobranch
Trachipterus spp,Dealfishes,TRP,NA
Trachipterus trachypterus,Mediterranean dealfish,TRQ,NA
Pseudocaranx dentex,White trevally,TRZ,NA
Trachyrincus scabrus,Roughsnout grenadier,TSU,demersal
Torpedo marmorata,Marbled electric ray,TTR,elasmobranch
Thunnini,Tunas nei,TUN,NA
Scombroidei,Tuna-like fishes nei,TUX,NA
Cataetyx laticeps,,TVY,NA
Trachyscorpia echinata,Spiny scorpionfish,TZY,NA
Umbrina spp,Drums nei,UBS,NA
Umbrina canariensis,Canary drum(=Baardman),UCA,NA
Undaria pinnatifida,Wakame,UDP,NA
Paracentrotus lividus,Stony sea urchin,URM,NA
Labrus mixtus,Cuckoo wrasse,USI,NA
Uranoscopus scaber,Stargazer,UUC,NA
Campogramma glaycos,Vadigo,VAD,NA
Venus verrucosa,Warty venus,VEV,NA
Palinuridae,Spiny lobsters nei,VLO,crustacean
Venerupis aurea,Golden carpet shell,VNA,NA
Venerupis rhomboides,Banded carpet shell,VNR,NA
Chlamys varia,Variegated scallop,VSC,NA
Acanthocybium solandri,Wahoo,WAH,NA
Trachinus spp,Weevers nei,WEX,NA
Tetrapturus albidus,Atlantic white marlin,WHM,NA
Polychaeta,Marine worms,WOR,NA
Polyprion americanus,Wreckfish,WRF,NA
Labrus merula,Brown wrasse,WRM,NA
Serranus atricauda,Blacktail comber,WSA,NA
Trisopterus spp,Trisopterus nei,XOD,NA
Symphodus cinereus,Grey wrasse,YFC,NA
Symphodus melops,Corkwing wrasse,YFM,NA
Thunnus albacares,Yellowfin tuna,YFT,NA
Symphodus spp,Symphodus wrasses nei,YFX,NA
Synaptura lusitanica,Portuguese sole,YNU,benthic
Sphyraena sphyraena,European barracuda,YRS,NA
Zeidae,Dories nei,ZEX,NA
Zeugopterus punctatus,Topknot,ZGP,NA
Coregonus albula,Vendace,FVE,NA
Anarhichas denticulatus,Northern wolffish,CAB,benthic
Dentex angolensis,Angolan dentex,DEA,NA
Notoscopelus spp,Patchwork lampfishes,LAX,NA
Maurolicus muelleri,Silvery lightfish,MAV,NA
Theragra chalcogramma,Alaska pollock(=Walleye poll.),ALK,NA
Lophius americanus,American angler,ANG,benthic
Antimora rostrata,Blue antimora,ANT,NA
Plantae aquaticae,Aquatic plants nei,APL,NA
Ascophyllum nodosum,North Atlantic rockweed,ASN,NA
Arctogadus glacialis,Artic cod,ATG,NA
Paralichthys olivaceus,Bastard halibut,BAH,benthic
Selar crumenophthalmus,Bigeye scad,BIS,NA
Makaira indica,Black marlin,BLM,NA
Cetorhinus maximus,Basking shark,BSK,elasmobranch
Mercenaria mercenaria,Northern quahog(=Hard clam),CLH,NA
Ruditapes philippinarum,Japanese carpet shell,CLJ,NA
Clupeidae,"Herrings, sardines nei",CLP,NA
Corallium rubrum,Sardinia coral,COL,NA
Eleginus navaga,Navaga(=Wachna cod),COW,NA
Cardiidae,Cockles nei,COZ,NA
Clupeoidei,Diadromous clupeoids nei,DCX,NA
Coryphaena hippurus,Common dolphinfish,DOL,NA
Dosinia orbignyi,Dosinia clam,DOR,NA
Etmopterus princeps,Great lanternshark,ETR,elasmobranch
Pseudopleuronectes americanus,Winter flounder,FLW,benthic
Phalium saburon,Saburon helmet,FMS,NA
Fucus serratus,Toothed wrack,FUU,NA
Fucus vesiculosus,Bladder wrack,FUV,NA
Porphyra spp,Nori nei,FYS,NA
Gelidium corneum,Giant gelidium,GEQ,NA
Macrourus spp,Grenadiers nei,GRV,NA
Meretrix spp,Hard clams nei,HCX,NA
Merluccius bilinearis,Silver hake,HKS,NA
Hydrolagus spp,Ratfishes nei,HYD,NA
Illex spp,Shortfin squids nei,ILL,NA
Chondrus crispus,Carragheen (Irish) moss,IMS,NA
Raja nidarosiensis,Norwegian skate,JAD,elasmobranch
Crepidula fornicata,American slipper-limpet,KDF,NA
Circomphalus casinus,Chamber venus,KFA,NA
Scomberomorus spp,Seerfishes nei,KGX,NA
Penaeus japonicus,Kuruma prawn,KUP,NA
Laminaria hyperborea,North European kelp,LAH,NA
Lepidotrigla dieuzeidei,Spiny gurnard,LEP,NA
Galatheidae,"Craylets, squat lobsters",LOQ,crustacean
Panulirus regius,Royal spiny lobster,LOY,crustacean
Laminaria digitata,Tangle,LQD,NA
Latris lineata,Striped trumpeter,LRL,NA
Liza saliens,Leaping mullet,LZS,NA
Mammalia,Aquatic mammals nei,MAM,NA
Microchirus variegatus,Thickback sole,MKG,NA
Tetrapturus audax,Striped marlin,MLS,NA
Mytilus spp,Mytilus mussels nei,MYV,NA
Nephropidae,"True lobsters,lobsterettes nei",NEX,crustacean
Solea senegalensis,Senegalese sole,OAL,NA
Oedalechilus labeo,Boxlip mullet,ODL,NA
Paromola cuvieri,Paromola,OLV,NA
Spectrunculus grandis,,OSG,NA
Ostreidae,Flat and cupped oysters nei,OST,NA
Ostrea spp,Flat oysters nei,OYX,NA
Palaemon longirostris,Delta prawn,PIQ,NA
Dasyatis violacea,Pelagic stingray,PLS,elasmobranch
Penaeus brasiliensis,Redspotted shrimp,PNB,crustacean
Boreogadus saida,Polar cod,POC,NA
Palinurus mauritanicus,Pink spiny lobster,PSL,crustacean
Rhinobatos punctifer,,RBF,NA
Palmaria palmata,Dulse,RHP,NA
Raja fyllae,Round ray,RJY,elasmobranch
Sardinella aurita,Round sardinella,SAA,NA
Placopecten magellanicus,American sea scallop,SCA,NA
Istiophorus platypterus,Indo-Pacific sailfish,SFA,NA
Diplodus puntazzo,Sharpsnout seabream,SHR,NA
Alosa spp,Shads nei,SHZ,NA
Pecten jacobaeus,Great Mediterranean scallop,SJA,NA
Palinurus gilchristi,Southern spiny lobster,SLS,crustacean
Salmonidae,Salmonids nei,SLZ,NA
Thyrsites atun,Snoek,SNK,NA
Spicara smaris,Picarel,SPC,NA
Illex argentinus,Argentine shortfin squid,SQA,NA
Microcosmus sulcatus,Grooved sea squirt,SSG,NA
Dasyatis spp,Stingrays nei,STI,elasmobranch
Dilsea carnosa,Fleshy dilsea,SWP,NA
Delesseria sanguinea,Red delesseria,SWQ,NA
Acantholatris monodactylus,St. Paul's fingerfin,TLD,NA
Microgadus tomcod,Atlantic tomcod,TOM,NA
Ruditapes spp,Carpet shells nei,TPS,NA
Thunnus spp,True tunas nei,TUS,NA
Tellina spp,Tellins nei,TWL,NA
Fucus spp,,UCU,NA
Spisula ovalis,Oval surf clam,ULV,NA
Ulva lactuca,Sea lettuce,UVU,NA
Polyprion oxygeneios,Hapuku wreckfish,WHA,NA
Carcharodon carcharias,Great white shark,WSH,elasmobranch
Limanda ferruginea,Yellowtail flounder,YEL,benthic
Chionoecetes opilio,Queen crab,CRQ,crustacean
Haliotis spp,Abalones nei,ABX,NA
Aphanopus intermedius,Intermediate scabbardfish,APH,NA
Belone spp,,BES,NA
Brama spp,,BRA,NA
Spaniblennius riodourensis,,BSD,NA
Conger spp,Conger eels nei,CGZ,NA
Spisula solidissima,Atlantic surf clam,CLB,NA
Clupeonella engrauliformis,Anchovy sprat,CLE,NA
Pennahia argentata,Silver croaker,CRV,NA
Centroberyx affinis,Redfish,CXF,NA
Pasiphaea multidentata,Pink glass shrimp,FAM,crustacean
Gaidropsarus ensis,Threadfin rockling,GDE,NA
Merluccius spp,Hakes nei,HKX,NA
Achlyopa nigra,Black sole,HNG,NA
Raja nasuta,Rough skate,JAT,elasmobranch
Laemonema longipes,Longfin codling,LMG,NA
Lamniformes,Mackerel sharks,LMZ,elasmobranch
Nezumia aequalis,Common Atlantic grenadier,NZA,NA
Alepocephalus rostratus,Risso's smooth-head,PHO,NA
Rhinochimaera atlantica,Straightnose rabbitfish,RCT,NA
Raja stellulata,Starry skate,RFT,elasmobranch
Thunnus maccoyii,Southern bluefin tuna,SBF,NA
Sebastes viviparus,Norway redfish,SFV,NA
Symbolophorus barnardi,,SMP,NA
Loligo pealeii,Longfin squid,SQL,NA
Martialia hyadesi,Sevenstar flying squid,SQS,NA
Spisula spp,Surf clams nei,SSD,NA
Scomberomorus maculatus,Atlantic Spanish mackerel,SSM,pelagic
Hyas spp,"Toad, lyre crabs nei",MJW,crustacean
Rhinochimaera spp,Knife-nosed chimaeras nei,RHC,NA
Aspius aspius,Asp,ASU,NA
Pelecus cultratus,Sichel,FSC,NA
Parapristipoma octolineatum,African striped grunt,GRA,NA
Urophycis chuss,Red hake,HKR,NA
Trachurus trecae,Cunene horse mackerel,HMZ,NA
Leuciscus cephalus,Chub,LUH,NA
Chionoecetes spp,Tanner crabs nei,PCR,crustacean
Coregonus spp,Whitefishes nei,WHF,NA
Leuciscus leuciscus,Common dace,FIE,NA
Grammicolepis brachiusculus,Thorny tinselfish,GMG,NA
Myoxocephalus scorpius,Shorthorn sculpin,MXV,NA
Chloroscombrus chrysurus,Atlantic bumper,BUA,NA
Dentex canariensis,Canary dentex,DEN,NA
Carcharhinus obscurus,Dusky shark,DUS,elasmobranch
Eriocheir sinensis,Chinese mitten crab,ERS,crustacean
Loligo forbesi,Veined squid,SQF,NA
Salvelinus alpinus,Arctic char,ACH,NA
Salvelinus spp,Chars nei,CHR,NA
Centrolabrus exoletus,Rock cook,ENX,NA
Calanus finmarchicus,,JCM,NA
Paralithodes camtschaticus,Red king crab,KCD,crustacean
Modiolus spp,Horse mussels nei,MOD,NA
Ctenolabrus rupestris,Goldsinny-wrasse,TBR,NA
Dissostichus mawsoni,Antarctic toothfish,TOA,NA
Strongylocentrotus spp,Sea urchins nei,URC,NA
Centropristis striata,Black seabass,BSB,NA
Enchelyopus cimbrius,Fourbeard rockling,ENC,NA
Ctenopharyngodon idellus,Grass carp(=White amur),FCG,NA
Silurus glanis,Wels(=Som) catfish,SOM,NA
Gymnothorax maderensis,Sharktooth moray,AGD,NA
Gymnothorax unicolor,Brown moray,AGK,NA
Anthias anthias,Swallowtail seaperch,AHN,NA
Acantholabrus palloni,Scale-rayed wrasse,AKL,NA
Alosa pseudoharengus,Alewife,ALE,NA
Seriola spp,Amberjacks nei,AMX,NA
Aristeus antennatus,Blue and red shrimp,ARA,crustacean
Aristaeomorpha foliacea,Giant red shrimp,ARS,crustacean
Aristeus varidens,Striped red shrimp,ARV,crustacean
Abudefduf luridus,Canary damsel,AUU,NA
Enchelycore anatina,Fangtooth moray,AWM,NA
Alosa aestivalis,Blueback shad,BBH,NA
Bodianus spp,,BDY,NA
Pomadasys spp,,BGX,NA
Ethmalosa fimbriata,Bonga shad,BOA,NA
Orcynopsis unicolor,Plain bonito,BOP,NA
Brotula barbata,Bearded brotula,BRD,NA
Pomadasys jubelini,Sompat grunt,BUR,NA
Sphyraena viridensis,Yellowmouth barracuda,BVV,NA
Callinectes spp,Callinectes swimcrabs nei,CAL,crustacean
Ariidae,Sea catfishes nei,CAX,NA
Carcharhinus limbatus,Blacktip shark,CCL,elasmobranch
Carcharhinus plumbeus,Sandbar shark,CCP,elasmobranch
Gadus spp,Northern cods nei,CDZ,NA
Centrophorus moluccensis,Smallfin gulper shark,CEM,elasmobranch
Genypterus spp,Cusk-eels nei,CEX,NA
Pseudotolithus spp,West African croakers nei,CKW,NA
Scomberomorus commerson,Narrow-barred Spanish mackerel,COM,NA
Centrophorus lusitanicus,Lowfin gulper shark,CPL,elasmobranch
Callinectes sapidus,Blue crab,CRB,crustacean
Genypterus blacodes,Pink cusk-eel,CUS,NA
Carcharhinus spp,Carcharhinus sharks nei,CWZ,elasmobranch
Centroscymnus cryptacanthus,Shortnose velvet dogfish,CYY,elasmobranch
Dentex maroccanus,Morocco dentex,DEM,NA
Diopatra neapolitana,,DIN,NA
Pteroscion peli,Boe drum,DRS,NA
Eledone moschata,Musky octopus,EDT,NA
Centracanthus cirrus,Curled picarel,EHI,NA
Eriphia verrucosa,Warty crab,EIK,crustacean
Pharus legumen,Bean solen,FRL,NA
Rutilus spp,Roaches nei,FRX,NA
Penaeus monodon,Giant tiger prawn,GIT,NA
Pseudupeneus prayensis,West African goatfish,GOA,NA
Mycteroperca spp,Brazilian groupers nei,GPB,NA
Brachydeuterus auritus,Bigeye grunt,GRB,NA
Grapsus grapsus,Lightfoot crab,GSQ,crustacean
Rhinobatos spp,Guitarfishes nei,GUZ,NA
Schedophilus ovalis,Imperial blackfish,HDV,NA
Merluccius polli,Benguela hake,HKB,NA
Merluccius capensis,Shallow-water Cape hake,HKK,NA
Merluccius senegalensis,Senegalese hake,HKM,NA
Merluccius australis,Southern hake,HKN,NA
Merluccius paradoxus,Deep-water Cape hake,HKO,NA
Merluccius hubbsi,Argentine hake,HKP,NA
Chaceon macphersoni,Pink geryon,HNQ,NA
Thais haemastoma,Two-row rock shell,HQM,NA
Heteropriacanthus cruentatus,Glasseye,HTU,NA
Ilisha africana,West African ilisha,ILI,NA
Raja miraletus,Brown ray,JAI,elasmobranch
Raja bigelowi,Bigelow's ray,JRW,elasmobranch
Cancer bellianus,Toothed rock crab,KCB,crustacean
Genypterus capensis,Kingklip,KCP,NA
Charonia rubicunda,Knobbed triton,KRJ,NA
Kyphosus spp,Kyphosus sea chubs nei,KYP,NA
Kyphosus sectatrix,Bermuda sea chub,KYS,NA
Plesionika edwardsii,Striped soldier shrimp,LKW,crustacean
Isurus paucus,Longfin mako,LMA,elasmobranch
Patella ulyssiponensis,Rough limpet,LQY,NA
Laevicardium crassum,Norwegian egg cockle,LVC,NA
Acanthurus monroviae,Monrovia doctorfish,MDO,NA
Muraena spp,,MDZ,NA
Marphysa sanguinea,,MFZ,NA
Mycteroperca fusca,Island grouper,MKF,NA
Mycteroperca rubra,Mottled grouper,MKU,NA
Metapenaeus monoceros,Speckled shrimp,MPN,crustacean
Tetrapturus belone,Mediterranean spearfish,MSP,NA
Naucrates ductor,Pilotfish,NAU,NA
Scrobicularia plana,Peppery furrow,OBN,NA
Carcharhinus longimanus,Oceanic whitetip shark,OCS,elasmobranch
Ommastrephes bartrami,Neon flying squid,OFJ,NA
Bothus podas,Wide-eyed flounder,OUB,benthic
Oxynotus centrina,Angular roughshark,OXY,elasmobranch
Pagellus bellottii,Red pandora,PAR,NA
Paphia undulata,Undulate venus,PAU,NA
Morone americana,White perch,PEW,NA
Penaeus indicus,Indian white prawn,PNI,NA
Trachinotus ovatus,Pompano,POP,NA
Micromesistius australis,Southern blue whiting,POS,NA
Promethichthys prometheus,Roudi escolar,PRP,NA
Sparisoma cretense,Parrotfish,PRR,NA
Psettodes bennettii,Spiny turbot,PSB,NA
Pseudocarcharias kamoharai,Crocodile shark,PSK,elasmobranch
Pseudotolithus senegalensis,Cassava croaker,PSS,NA
Palaemonetes varians,Atlantic ditch shrimp,PVR,crustacean
Polymixia nobilis,Stout beardfish,PXV,NA
Polybius henslowii,Henslow’s swimming crab,QPH,crustacean
Procambarus clarkii,Red swamp crawfish,RCW,NA
Dasyatis centroura,Roughtail stingray,RDC,elasmobranch
Pagrus auriga,Redbanded seabream,REA,NA
Gymnura altavela,Spiny butterfly ray,RGL,elasmobranch
Macrouridae,"Grenadiers, rattails nei",RTX,NA
Caranx crysos,Blue runner,RUB,NA
Argyrosomus spp,Meagres nei,RXY,NA
Salilota australis,Tadpole codling,SAO,NA
Stenotomus chrysops,Scup,SCP,NA
Synodus saurus,Atlantic lizardfish,SDR,NA
Macroramphosidae,Snipefishes nei,SNI,NA
Oncorhynchus nerka,Sockeye(=Red) salmon,SOC,NA
Penaeus notialis,Southern pink shrimp,SOP,crustacean
Psettodes belcheri,Spottail spiny turbot,SOT,NA
Tetrapturus pfluegeri,Longbill spearfish,SPF,NA
Sorsogona prionota,Halfspined flathead,SRQ,NA
Menidia menidia,Atlantic silverside,SSA,NA
Plesiopenaeus edwardsianus,Scarlet shrimp,SSH,crustacean
Cynoscion regalis,Squeteague(=Gray weakfish),STG,NA
Squatina oculata,Smoothback angelshark,SUT,elasmobranch
Batrachoides spp,Toadfishes nei,TDF,NA
Polynemidae,"Threadfins, tasselfishes nei",THF,NA
Thalassoma pavo,Ornate wrasse,TMP,NA
Dissostichus eleginoides,Patagonian toothfish,TOP,NA
Cynoglossidae,Tonguefishes,TOX,NA
Triaenodon obesus,Whitetip reef shark,TRB,elasmobranch
Uranoscopus spp,Stargazers,URA,NA
Plesionika spp,Plesionika shrimps nei,XKX,crustacean
Scyllarides latus,Mediterranean slipper lobster,YLL,crustacean
Cynoglossus canariensis,Canary tonguesole,YOI,NA
Cynoglossus spp,Tonguesole nei,YOX,NA
Seriola lalandi,Yellowtail amberjack,YTC,NA
Seriola rivoliana,Longfin yellowtail,YTL,NA
Peprilus triacanthus,Atlantic butterfish,BUT,NA
Pleuronectes glacialis,Arctic flounder,EOG,NA
Clupea pallasii,Pacific herring,HEP,NA
Psammechinus microtuberculatus,Green sea urchin,KIM,NA
Myctophidae,Lanternfishes nei,LXX,NA
Oncorhynchus gorbuscha,Pink(=Humpback) salmon,PIN,NA
Osmerus mordax,Rainbow smelt,SMR,demersal
Spisula subtruncata,Subtruncate surf clam,ULT,NA
Apristurus laurussonii,Iceland catshark,APQ,elasmobranch
Brachypterois serrulata,,BER,NA
Epigonus spp,Cardinal fishes nei,CDL,NA
Corbicula manilensis,Manila clam,CMM,NA
Chaceon quinquedens,Red crab,CRR,crustacean
Hydrolagus mirabilis,Large-eyed rabbitfish,CYH,NA
Etelis oculatus,Queen snapper,EEO,NA
Lithodidae,"King crabs, stone crabs nei",KCX,crustacean
Mola spp,Sunfish,MOP,NA
Pseudophycis bachus,Red codling,NEC,NA
Sardinella maderensis,Madeiran sardinella,SAE,NA
Menippe mercenaria,Black stone crab,STC,crustacean
Torpedo nobiliana,Electric ray,TTO,elasmobranch
NA,NA,NA,NA
